EdgeNo	F-Node	T-Node	r	x	b	Switch	SwitchState	maxAmp	type	ID	name	desc
20353	3671	3610	0.00190	0.00429	0.00000	N	-1	441	交流线	SEG_709440188695600	SEG_709440188695600	北山交通设备公用开关房602开关-北山交通设备公用开关房613开关
20355	3600	3651	0.00114	0.00257	0.00000	N	-1	441	交流线	SEG_709440188691900	SEG_709440188691900	北山交通设备公用开关房603开关-北山交通设备公用开关房608开关
23272	13522	13477	0.00102	0.00229	0.00000	N	-1	441	交流线	SEG_709220017396600	SEG_709220017396600	正佳物流公用配电房~正佳物流专用配电房
23273	13451	13457	0.00381	0.00857	0.00000	N	-1	441	交流线	SEG_709220242506900	SEG_709220242506900	腾邦物流专用开关房~腾邦物流专用综合房
23274	13530	13432	0.05829	0.13114	0.00000	N	-1	441	交流线	SEG_709220051561400	SEG_709220051561400	中间接头~正佳物流公用配电房
23275	13528	13529	0.00571	0.01286	0.00000	N	-1	441	交流线	SEG_709220242494300	SEG_709220242494300	腾邦物流专用开关房~腾邦物流专用综合房
23276	13487	13488	0.04813	0.10829	0.00000	N	-1	441	交流线	SEG_709220017414500	SEG_709220017414500	顺泰仓公用配电房~北区中天元公用配电房
23277	13534	13442	0.00419	0.00943	0.00000	N	-1	441	交流线	SEG_709220242448500	SEG_709220242448500	腾邦物流专用开关房~腾邦物流专用综合房
23278	13424	13420	0.06349	0.14286	0.00000	N	-1	441	交流线	SEG_709440197258100	SEG_709440197258100	中间接头04000204223~中间接头04000204224
23279	13535	13452	0.00254	0.00571	0.00000	N	-1	441	交流线	SEG_709220017408400	SEG_709220017408400	顺泰仓公用配电房~顺泰仓物流专用配电房
23280	13437	13481	0.00254	0.00571	0.00000	N	-1	441	交流线	SEG_709440238291500	SEG_709440238291500	深国际物流充电桩专用综合房803开关至变压器
23282	13482	13514	0.01333	0.03000	0.00000	N	-1	441	交流线	SEG_709220017265100	SEG_709220017265100	电缆中间头~正佳物流公用配电房
23283	13523	13491	0.01778	0.04000	0.00000	N	-1	441	交流线	SEG_709440238571300	SEG_709440238571300	中间接头04000204354~深国际物流公用开关房
23284	13460	13504	0.01410	0.03171	0.00000	N	-1	441	交流线	SEG_709220240610500	SEG_709220240610500	04000203301~腾邦物流公用开关房
23285	13501	13520	0.03949	0.08886	0.00000	N	-1	441	交流线	SEG_709220017265200	SEG_709220017265200	配电线路_电缆700000879826702
23286	13435	13479	0.01651	0.03714	0.00000	N	-1	441	交流线	SEG_709220240608300	SEG_709220240608300	中间接头04000204353~9999
23287	2061	13520	0.04025	0.09057	0.00000	N	-1	441	交流线	SEG_709220017396300	SEG_709220017396300	物流园北区保公用环网柜~电缆中间头
23288	13494	13537	0.00254	0.00571	0.00000	N	-1	441	交流线	SEG_709440238380100	SEG_709440238380100	深国际物流专用综合房804开关至#1专变
23289	13417	13466	0.00635	0.01429	0.00000	N	-1	441	交流线	SEG_709440238485900	SEG_709440238485900	深国际物流公用开关房604开关~深国际物流专用综合房601开关
23290	13496	13433	0.04695	0.10563	0.00000	N	-1	441	交流线	SEG_709220051563100	SEG_709220051563100	04001802361
23291	13496	13453	0.01552	0.03492	0.00000	N	-1	441	交流线	SEG_709220174314300	SEG_709220174314300	中间接头~中远物流公用配电房
23292	3652	13462	0.06444	0.14500	0.00000	N	-1	441	交流线	SEG_709440198810500	SEG_709440198810500	北山交通设施公用开关房~中间接头04000204225
23293	13420	3660	0.06349	0.14286	0.00000	N	-1	441	交流线	SEG_709440197260100	SEG_709440197260100	中间接头04000204224~北山交通设施公用开关房
23294	13459	13484	0.00432	0.00971	0.00000	N	-1	441	交流线	SEG_709220017401900	SEG_709220017401900	中远物流公用配电房~中远物流专用电房
23295	13438	13517	0.00571	0.01286	0.00000	N	-1	441	交流线	SEG_709220017265300	SEG_709220017265300	配电线路_电缆700000879828302
23296	13427	13523	0.02286	0.05143	0.00000	N	-1	441	交流线	SEG_709220240611500	SEG_709220240611500	腾邦物流公用开关房~中间接头04000204354
23297	13479	13454	0.05905	0.13286	0.00000	N	-1	441	交流线	SEG_709220017400300	SEG_709220017400300	9999~保物公用环网柜
23298	13483	13493	0.04444	0.10000	0.00000	N	-1	441	交流线	SEG_709440197254100	SEG_709440197254100	中间接头04000204221~中间接头04000204222
23299	13440	13497	0.02629	0.05914	0.00000	N	-1	441	交流线	SEG_709220017414400	SEG_709220017414400	中远物流公用配电房~顺泰仓公用配电房
23300	13441	13429	0.00140	0.00314	0.00000	N	-1	441	交流线	SEG_709220017415100	SEG_709220017415100	配电线路_电缆700000625267502
23301	754	13499	0.00398	0.00897	0.00000	N	-1	441	交流线	SEG_709440230496700	SEG_709440230496700	110kV盐田临时变电站~中间接头
23302	13467	13516	0.00254	0.00571	0.00000	N	-1	441	交流线	SEG_709440238383200	SEG_709440238383200	深国际物流专用综合房805开关至#2专变
23303	13470	13526	0.00254	0.00571	0.00000	N	-1	441	交流线	SEG_709440238378300	SEG_709440238378300	深国际物流专用综合房803开关至#3专变
23304	13493	13424	0.06349	0.14286	0.00000	N	-1	441	交流线	SEG_709440197256100	SEG_709440197256100	中间接头04000204222~中间接头04000204223
