node_id,cluster_index
114560315521280673_2,0
115404740451372589_1,0
BUSBAR_709220263781400_1,0
SEG_709220017396300_1,0
SEG_709220017430100_1,0
SEG_709220017432700_1,0
SEG_709220017432700_2,0
SEG_709220017432900_1,0
SEG_709220017432900_2,0
SEG_709220017433100_1,0
SEG_709220017433100_2,0
SEG_709220017433200_2,0
SEG_709220017433300_2,0
SEG_709220346494100_1,0
SEG_709440217798500_1,0
SEG_709440217799500_2,0
SEG_709440217800500_2,0
SEG_709440217806100_2,0
SWITCH_709220263777000_2,0
SWITCH_709220263783100_2,0
115404740451371500_1,1
BUSBAR_700000172127502_1,1
BUSBAR_700000587364902_1,1
BUSBAR_700000587462302_1,1
BUSBAR_700000601666902_1,1
BUSBAR_700000851867002_1,1
BUSBAR_700000861799102_1,1
BUSBAR_700000861822302_1,1
BUSBAR_700000861836402_1,1
BUSBAR_700000861837502_1,1
BUSBAR_700000861838602_1,1
BUSBAR_700000861838702_1,1
BUSBAR_700000861840702_1,1
BUSBAR_700000861840802_1,1
BUSBAR_700000887227302_1,1
BUSBAR_709220195445100_1,1
BUSBAR_709220195495900_1,1
BUSBAR_709220218178500_1,1
BUSBAR_709220284335900_1,1
BUSBAR_709220302346100_1,1
BUSBAR_709220306964800_1,1
BUSBAR_709220307284800_1,1
BUSBAR_709220307310500_1,1
BUSBAR_709220322077900_1,1
BUSBAR_709220322094900_1,1
BUSBAR_709220337245000_1,1
BUSBAR_709440167748100_1,1
BUSBAR_709440203832300_1,1
BUSBAR_709440212713200_1,1
BUSBAR_709440237550900_1,1
BUSBAR_709440237572300_1,1
BUSBAR_709440242749500_1,1
NODE_16263,1
NODE_16265,1
SEG_709220017220900_1,1
SEG_709220017220900_2,1
SEG_709220017258000_2,1
SEG_709220017258100_1,1
SEG_709220017258100_2,1
SEG_709220017258200_1,1
SEG_709220017258200_2,1
SEG_709220017258300_1,1
SEG_709220017258300_2,1
SEG_709220017258400_1,1
SEG_709220017258400_2,1
SEG_709220017258500_1,1
SEG_709220017258500_2,1
SEG_709220017263000_1,1
SEG_709220017263000_2,1
SEG_709220017263100_1,1
SEG_709220017263100_2,1
SEG_709220017267000_1,1
SEG_709220017267000_2,1
SEG_709220017267100_2,1
SEG_709220017363300_1,1
SEG_709220017363300_2,1
SEG_709220017390500_1,1
SEG_709220017390500_2,1
SEG_709220017390600_1,1
SEG_709220017390600_2,1
SEG_709220017391300_1,1
SEG_709220017391400_1,1
SEG_709220017391400_2,1
SEG_709220017395900_1,1
SEG_709220017395900_2,1
SEG_709220017396100_1,1
SEG_709220017396200_1,1
SEG_709220017396400_1,1
SEG_709220017396400_2,1
SEG_709220017430100_2,1
SEG_709220017466100_1,1
SEG_709220017466200_1,1
SEG_709220017466200_2,1
SEG_709220017468000_1,1
SEG_709220017468000_2,1
SEG_709220017468100_2,1
SEG_709220017492600_1,1
SEG_709220172266100_1,1
SEG_709220195413100_2,1
SEG_709220195415500_1,1
SEG_709220195415500_2,1
SEG_709220195416600_1,1
SEG_709220195416600_2,1
SEG_709220195485800_1,1
SEG_709220195485800_2,1
SEG_709220232447000_1,1
SEG_709220232581500_1,1
SEG_709220289730100_1,1
SEG_709220289731600_2,1
SEG_709220296674000_1,1
SEG_709220296674000_2,1
