volt,cluster_index,cluster_id,cluster_label,cluster_size
10,0,10kV-C1,碧波站.合景同创线F02开关,20
10,1,10kV-C2,明珠站.明铁线F09开关,168
10,2,10kV-C3,盐田临时站.临田保合线F14开关,165
10,3,10kV-C4,明珠站.明交线F31开关,52
10,4,10kV-C5,10kV-UNGROUPED,146
